image_name,class_name,class_no,0_x,0_y,0_score,1_x,1_y,1_score,2_x,2_y,2_score,3_x,3_y,3_score,4_x,4_y,4_score,5_x,5_y,5_score,6_x,6_y,6_score,7_x,7_y,7_score,8_x,8_y,8_score,9_x,9_y,9_score,10_x,10_y,10_score,11_x,11_y,11_score,12_x,12_y,12_score,13_x,13_y,13_score,14_x,14_y,14_score,15_x,15_y,15_score,16_x,16_y,16_score
1.jpg,no_pose,3,212.13715,56.60316,0.645695,218.82428,49.6347,0.6309591,204.02284,49.949455,0.7176664,229.16183,54.495,0.7094049,193.73244,54.22095,0.57762885,246.30328,100.331436,0.758507,177.87776,102.4047,0.77382576,250.59474,159.80035,0.44778174,171.96602,160.94519,0.37114462,255.57567,210.70895,0.49819288,168.76727,219.16937,0.43184176,237.30695,201.7385,0.7528192,194.31175,202.1745,0.73394245,234.3688,294.68106,0.6427918,200.24464,292.4135,0.7382843,231.812,370.33362,0.6854532,205.2564,372.06534,0.6441438
10.jpg,no_pose,3,293.96066,102.27303,0.59887266,304.0178,91.43705,0.58136725,287.61453,92.53624,0.64744604,331.45923,92.79297,0.58495605,291.47598,93.17004,0.3665923,366.724,153.08212,0.7009407,274.9874,146.1215,0.76488334,403.13403,232.2179,0.75940657,262.2723,208.70943,0.5850811,373.62924,291.9852,0.52347314,254.76758,267.21222,0.67992043,336.79974,297.55457,0.64826417,278.92834,295.2372,0.7140633,338.2112,392.5735,0.68553996,268.8847,391.80548,0.7580746,339.08298,475.2347,0.8210717,269.6313,475.22046,0.8082541
10_flipped.jpg,no_pose,3,308.0327,101.45797,0.45113096,313.91534,91.15989,0.4847361,295.97015,90.706764,0.47562298,311.242,91.162384,0.2803177,269.25235,91.311554,0.59771115,325.6806,142.4773,0.536952,235.15698,155.5372,0.6015441,334.88602,206.34813,0.66763496,194.86388,235.41232,0.7965998,344.2392,261.07608,0.51605475,229.67453,292.5629,0.6197603,323.60675,291.42685,0.80274415,267.95566,298.4302,0.7635135,330.63504,395.79544,0.71658003,262.4238,392.71902,0.69914323,330.87326,474.53088,0.832278,262.37704,477.53778,0.7460017
11.png,no_pose,3,123.878845,35.664948,0.48416343,128.13487,30.354523,0.81772774,120.028625,31.260315,0.7242438,134.83539,33.4861,0.80590045,115.635956,34.397045,0.84681356,147.7994,62.36324,0.8092882,103.53656,62.652077,0.83606184,139.73848,97.90729,0.39871126,94.17908,100.86513,0.8202697,109.00876,86.768135,0.58194417,130.8948,94.84318,0.28465235,131.98154,133.19443,0.8956575,106.47506,129.73624,0.91108096,129.43924,195.44254,0.7678298,100.150925,191.55714,0.81501865,124.26415,248.6513,0.7329582,105.79939,245.16608,0.68855417
11_flipped.png,no_pose,3,99.9018,35.45931,0.73260236,104.53353,30.78578,0.8490852,95.07126,30.683052,0.8578665,109.70021,34.30102,0.749866,88.652245,33.76195,0.8130779,122.31568,61.84123,0.87783134,75.758705,61.83453,0.8560069,130.58229,98.91972,0.693031,85.536125,96.6176,0.5495805,95.58667,94.99269,0.5915321,114.64839,88.08638,0.5270837,117.727165,131.36015,0.81313646,91.58513,132.50873,0.8854588,124.81991,191.8427,0.8168484,94.562195,193.28545,0.7955517,118.95227,235.62881,0.7506948,97.67403,235.85509,0.70478636
12.jpg,no_pose,3,496.6767,152.95639,0.51300573,519.1694,136.91602,0.46989384,490.15112,138.24858,0.34504387,598.69495,143.40152,0.43310806,510.00403,143.25195,0.15450217,682.6233,277.6024,0.6297296,516.2433,313.4436,0.54557085,769.68134,485.74588,0.5399225,541.3055,499.74838,0.48010346,731.95026,667.38745,0.6068119,548.8576,667.0432,0.37167218,700.9277,690.7639,0.76730597,573.76025,697.16455,0.7800409,762.28955,960.3546,0.5957391,523.97845,981.38904,0.7627009,822.6437,1178.5348,0.25478837,481.43152,1181.2947,0.19606352
12_flipped.jpg,no_pose,3,710.1047,146.56755,0.35635287,713.801,131.522,0.42827064,684.5203,129.62856,0.4307682,698.722,140.46013,0.15604414,604.9058,133.83723,0.33495852,687.43463,322.15106,0.57451653,514.0785,280.94135,0.63370687,662.083,523.0854,0.60456663,428.736,480.35934,0.50934243,652.1188,688.03485,0.46453822,469.9399,679.7171,0.6276591,628.7206,697.539,0.75742924,494.81824,686.59467,0.72192883,673.76044,980.6554,0.85186774,435.3908,964.22314,0.75833,738.8977,1241.4098,0.41482168,375.56287,1238.5465,0.60447705
13.jpg,no_pose,3,407.0048,137.10857,0.497336,411.89386,133.64966,0.5104562,398.23712,132.76181,0.34864718,415.2368,136.34813,0.43419006,386.52554,135.93184,0.61247003,412.26074,165.90346,0.5281528,373.6825,162.8349,0.69963014,405.418,196.24171,0.28588834,361.26907,197.8048,0.41574547,407.89987,226.68253,0.45871466,376.0304,227.68585,0.24862303,409.96213,229.31288,0.52547145,380.66745,230.46352,0.49343857,401.44882,285.17526,0.33184066,368.26678,285.15158,0.45165807,393.1202,329.6234,0.44051415,368.29654,332.14853,0.35420886
14_flipped.jpg,no_pose,3,312.95697,76.561554,0.6522062,321.14545,70.31751,0.5679406,307.53497,70.25624,0.6953493,335.10925,75.41194,0.6161445,301.36432,74.275986,0.45598584,350.5679,125.33605,0.6005243,287.65088,127.30768,0.6183491,367.04456,188.23643,0.6620269,268.42474,185.79704,0.6210928,371.91562,251.07959,0.54912573,260.2802,244.85736,0.48449013,333.15903,224.1492,0.7205748,294.7702,225.70776,0.6270816,325.4433,322.1175,0.7528119,299.32465,322.43805,0.6557143,322.0359,411.49957,0.58991635,310.0793,407.72195,0.53209025
1_flipped.jpg,no_pose,3,202.88702,57.320908,0.5389643,208.89395,51.527206,0.78703195,196.75056,50.456383,0.6935444,217.72511,57.477875,0.6670631,186.92154,54.968754,0.53449714,235.48561,105.89559,0.715744,168.48158,102.84348,0.83480626,241.85034,166.06703,0.7882962,162.21124,160.0453,0.55534554,245.67947,220.34248,0.71397555,159.01883,208.98062,0.6067817,221.07578,203.45895,0.654705,180.11105,205.26144,0.67169803,214.35638,293.07974,0.8692121,180.45927,296.4473,0.73353815,210.33353,371.86438,0.57956636,183.12994,372.55618,0.54231095
