image_name,class_name,class_no,0_x,0_y,0_score,1_x,1_y,1_score,2_x,2_y,2_score,3_x,3_y,3_score,4_x,4_y,4_score,5_x,5_y,5_score,6_x,6_y,6_score,7_x,7_y,7_score,8_x,8_y,8_score,9_x,9_y,9_score,10_x,10_y,10_score,11_x,11_y,11_score,12_x,12_y,12_score,13_x,13_y,13_score,14_x,14_y,14_score,15_x,15_y,15_score,16_x,16_y,16_score
1.jpg,tree,6,501.65994,81.468895,0.80684423,512.7454,75.73576,0.844175,489.91446,75.129944,0.8607811,527.1849,89.16913,0.65243983,480.72397,87.2101,0.78353745,554.3735,144.32224,0.9224798,450.9781,138.35516,0.94933844,576.1731,207.4726,0.77048343,425.37744,203.58658,0.7955431,516.217,181.99243,0.7635058,487.77075,183.39285,0.6211928,521.9166,279.2461,0.89357495,463.31165,275.09576,0.90288633,497.935,397.3965,0.82918566,380.96713,364.2338,0.8957552,485.32755,518.4983,0.90420187,482.02496,338.38516,0.31624296
1_flipped.jpg,tree,6,497.3282,85.2914,0.8132351,506.46655,77.776306,0.6470244,487.6849,76.81501,0.8430315,517.82904,89.65277,0.73023176,474.81317,87.5038,0.6368394,545.4564,137.40468,0.9173692,448.60715,144.7961,0.916063,575.0675,205.17781,0.8995207,422.09583,207.747,0.8079872,510.79123,185.64272,0.6537591,484.3678,184.9516,0.6896205,536.9706,274.17856,0.8984263,476.49777,282.51877,0.92840624,621.1694,364.1604,0.95725584,502.18756,400.36185,0.8833299,519.64056,334.08566,0.43676138,516.0001,516.605,0.8992692
2.jpg,tree,6,986.99963,131.84557,0.7010565,1005.62775,111.3411,0.73931634,969.74115,112.083565,0.8871946,1026.765,129.33954,0.7210915,944.03955,128.95969,0.75519764,1079.018,237.95409,0.8564937,898.9922,244.16728,0.9690433,1140.0474,373.96603,0.82750636,829.5084,377.41104,0.9453147,1014.5766,353.5461,0.622246,956.98376,354.652,0.61967015,1019.0945,496.2062,0.944161,909.83203,491.15985,0.8207999,988.7086,757.2584,0.74272496,725.3274,630.42535,0.9371556,951.592,969.1238,0.86550575,910.57385,675.7618,0.759975
2_flipped.jpg,tree,6,609.14734,129.04237,0.7027649,627.2917,112.58669,0.8324339,591.147,113.04069,0.8263364,652.0756,129.38168,0.84593165,567.9687,129.7489,0.8651475,703.04596,250.10036,0.80618036,508.6,243.09024,0.85430473,764.72766,375.8158,0.73175156,492.2895,385.05917,0.30991158,647.2398,360.4576,0.62355757,597.87195,354.3657,0.76976466,686.84265,496.4804,0.9011705,582.4667,505.2939,0.8170023,872.42224,636.6006,0.85996264,615.49036,752.9933,0.8046654,680.6177,680.184,0.7925691,644.7294,968.2571,0.91826344
3.jpg,tree,6,1235.9965,366.86038,0.55929375,1262.0317,332.64038,0.7175145,1206.971,332.86792,0.65428984,1303.3616,356.1384,0.67859197,1168.9442,360.9181,0.58608735,1384.1986,535.83844,0.5720998,1098.0635,517.84735,0.8423886,1427.3942,720.2279,0.24324006,1025.6593,729.8091,0.70164776,1269.5258,605.6654,0.6387402,1191.1255,599.2655,0.5068402,1297.1046,1031.8239,0.81272906,1105.5216,1012.04376,0.80077976,1274.1908,1367.3392,0.75325304,836.62573,1182.8665,0.7973486,1200.5121,1721.9506,0.7339206,1180.3464,1128.2722,0.64872557
3_flipped.jpg,tree,6,807.2478,364.26007,0.6325712,836.50494,333.5184,0.6598157,777.0905,332.44473,0.48484078,877.9906,353.78558,0.7771429,738.6735,357.26498,0.8098482,965.6531,529.0496,0.9176903,651.5022,526.574,0.93171656,1021.5078,735.2314,0.70309293,610.4821,755.64154,0.740404,837.3137,595.81775,0.6764996,781.05457,594.5319,0.6738062,929.12463,981.7606,0.710823,738.4434,1004.0906,0.8236544,1205.6583,1193.9126,0.79384935,790.9008,1352.3999,0.61917686,861.421,1127.7921,0.75494224,843.14417,1714.1548,0.8643198
4.jpg,tree,6,156.55975,47.43413,0.5115689,160.9989,45.343567,0.48407814,152.58736,44.91234,0.48137695,165.21101,47.030144,0.5340959,146.73338,46.824825,0.41414824,168.66689,59.328503,0.48026052,136.52167,58.852818,0.39266875,162.97842,38.172478,0.25420707,142.31671,36.14435,0.5019647,156.45906,17.339087,0.35301578,152.7375,17.454618,0.44637254,165.76662,102.61442,0.7014958,148.34451,105.20526,0.714986,189.4875,118.40094,0.8487003,155.88814,142.2168,0.6082581,161.67104,128.36964,0.41937396,155.61673,140.61446,0.116380386
4_flipped.jpg,tree,6,164.24081,49.116364,0.6223984,167.15584,46.79086,0.7144788,161.72174,46.829845,0.7644741,170.14246,49.79548,0.76808107,158.22803,49.54623,0.7775616,175.63734,60.326885,0.6693169,152.0412,59.804276,0.8811901,178.81796,36.182373,0.71284026,151.82527,35.897263,0.7710037,170.11807,23.70549,0.5595765,158.16571,23.650179,0.43970966,167.85597,104.88391,0.9057087,152.21274,103.27153,0.9086803,163.36012,143.16112,0.79739183,126.54048,117.37215,0.7991578,155.75133,177.19588,0.917767,153.17384,124.8804,0.81173545
5.jpg,tree,6,594.9283,168.19435,0.63562864,603.81903,160.67288,0.5858388,585.5756,159.92497,0.6894532,614.0595,167.08304,0.7820262,575.15656,169.44191,0.6840763,631.3225,203.67601,0.86370283,557.30615,205.02415,0.81123,627.18823,130.08318,0.68877786,563.9382,127.06088,0.56249106,615.5361,71.416985,0.6993518,583.1685,77.884155,0.6817634,625.93756,325.75217,0.9164586,574.3396,330.39627,0.83592117,717.66095,399.80933,0.8404006,589.75,459.37158,0.6573514,618.79376,384.85196,0.6316103,604.8129,552.3159,0.86288154
5_flipped.jpg,tree,6,603.1709,170.06053,0.73499936,611.24304,162.27013,0.8410776,594.7327,162.57501,0.84158045,622.5386,169.05652,0.81187916,585.16095,171.21793,0.78108376,637.3989,202.37062,0.7351702,569.3801,205.21466,0.92222214,630.00214,126.31699,0.80238813,574.4899,127.32406,0.5756761,612.1959,69.97083,0.6680305,587.63995,70.83556,0.55005777,621.52905,337.31732,0.7902596,570.3487,329.07693,0.8937373,609.65717,456.2771,0.7236664,481.031,395.7767,0.8735397,592.57263,552.08453,0.7123722,581.82495,389.35132,0.75327444
